"날짜","종가","시가","고가","저가","거래량","변동 %"
"2013- 12- 31","2,011.34","2,004.32","2,011.34","1,998.61","172.23K","0.00%"
"2013- 12- 30","2,011.34","2,004.32","2,011.34","1,998.61","172.23M","0.45%"
"2013- 12- 27","2,002.28","1,994.05","2,004.55","1,987.58","207.77M","0.15%"
"2013- 12- 26","1,999.30","2,004.25","2,009.96","1,997.34","230.53M","-0.11%"
"2013- 12- 24","2,001.59","2,000.24","2,007.34","1,994.34","214.69M","0.24%"
"2013- 12- 23","1,996.89","1,993.45","2,000.07","1,989.00","223.00M","0.68%"
"2013- 12- 20","1,983.35","1,973.12","1,984.44","1,972.59","247.06M","0.39%"
"2013- 12- 19","1,975.65","1,996.79","1,997.02","1,969.95","255.82M","0.05%"
"2013- 12- 18","1,974.63","1,971.85","1,982.42","1,966.18","258.66M","0.45%"
"2013- 12- 17","1,965.74","1,977.94","1,979.62","1,962.22","253.89M","0.23%"
"2013- 12- 16","1,961.15","1,960.60","1,970.25","1,956.63","213.51M","-0.09%"
"2013- 12- 13","1,962.91","1,963.04","1,963.81","1,947.44","234.10M","-0.26%"
"2013- 12- 12","1,967.93","1,966.44","1,970.51","1,958.99","255.08M","-0.51%"
"2013- 12- 11","1,977.97","1,987.22","2,000.15","1,972.87","231.37M","-0.78%"
"2013- 12- 10","1,993.45","2,000.03","2,001.33","1,989.41","200.96M","-0.35%"
"2013- 12- 09","2,000.38","2,000.52","2,003.97","1,997.58","230.27M","1.01%"
"2013- 12- 06","1,980.41","1,982.99","1,990.55","1,980.40","201.90M","-0.22%"
"2013- 12- 05","1,984.77","1,993.73","1,994.32","1,971.44","217.67M","-0.10%"
"2013- 12- 04","1,986.80","1,998.69","2,006.71","1,986.80","230.33M","-1.12%"
"2013- 12- 03","2,009.36","2,023.62","2,028.07","2,008.55","294.95M","-1.05%"
"2013- 12- 02","2,030.78","2,050.45","2,052.88","2,029.10","229.69M","-0.69%"
"2013- 11- 29","2,044.87","2,044.85","2,050.70","2,038.46","245.37M","-0.04%"
"2013- 11- 28","2,045.77","2,039.73","2,047.66","2,037.73","276.27M","0.84%"
"2013- 11- 27","2,028.81","2,016.28","2,028.81","2,010.84","284.08M","0.31%"
"2013- 11- 26","2,022.64","2,008.19","2,022.66","1,998.90","275.31M","0.33%"
"2013- 11- 25","2,015.98","2,020.00","2,031.11","2,015.98","295.51M","0.49%"
"2013- 11- 22","2,006.23","2,002.15","2,011.20","1,992.48","350.98M","0.62%"
"2013- 11- 21","1,993.78","2,013.71","2,013.71","1,985.65","292.67M","-1.16%"
"2013- 11- 20","2,017.24","2,028.34","2,029.61","2,010.74","334.80M","-0.71%"
"2013- 11- 19","2,031.64","2,009.95","2,033.91","2,009.47","402.80M","1.04%"
"2013- 11- 18","2,010.81","2,014.24","2,018.17","2,009.76","313.97M","0.26%"
"2013- 11- 15","2,005.64","1,980.99","2,006.31","1,980.99","264.69M","1.94%"
"2013- 11- 14","1,967.56","1,980.20","1,981.89","1,963.42","323.11M","0.20%"
"2013- 11- 13","1,963.56","1,993.16","1,993.16","1,963.56","251.54M","-1.60%"
"2013- 11- 12","1,995.48","1,983.94","2,000.41","1,983.89","247.36M","0.92%"
"2013- 11- 11","1,977.30","1,995.86","1,995.86","1,973.05","286.22M","-0.38%"
"2013- 11- 08","1,984.87","1,987.21","1,998.59","1,984.86","287.31M","-0.96%"
"2013- 11- 07","2,004.04","2,014.85","2,017.55","2,000.60","310.95M","-0.48%"
"2013- 11- 06","2,013.67","2,015.32","2,023.52","2,011.41","273.69M","-0.01%"
"2013- 11- 05","2,013.93","2,027.62","2,029.60","2,010.20","257.82M","-0.56%"
"2013- 11- 04","2,025.17","2,035.08","2,035.84","2,022.91","235.24M","-0.70%"
"2013- 11- 01","2,039.42","2,037.25","2,041.23","2,030.57","294.19M","0.46%"
"2013- 10- 31","2,030.09","2,050.96","2,055.59","2,030.09","254.50M","-1.43%"
"2013- 10- 30","2,059.58","2,055.00","2,059.58","2,043.93","263.43M","0.38%"
"2013- 10- 29","2,051.76","2,046.67","2,053.78","2,039.46","307.65M","0.18%"
"2013- 10- 28","2,048.14","2,037.28","2,048.14","2,030.90","257.53M","0.68%"
"2013- 10- 25","2,034.39","2,047.46","2,047.46","2,023.82","234.84M","-0.60%"
"2013- 10- 24","2,046.69","2,034.96","2,046.69","2,027.93","254.85M","0.54%"
"2013- 10- 23","2,035.75","2,062.81","2,063.28","2,035.75","367.99M","-0.99%"
"2013- 10- 22","2,056.12","2,051.01","2,056.12","2,045.45","378.78M","0.15%"
"2013- 10- 21","2,053.01","2,054.16","2,060.18","2,047.83","281.93M","0.03%"
"2013- 10- 18","2,052.40","2,046.56","2,052.40","2,041.36","257.59M","0.58%"
"2013- 10- 17","2,040.61","2,051.19","2,052.44","2,035.96","306.92M","0.29%"
"2013- 10- 16","2,034.61","2,040.03","2,049.50","2,033.75","267.49M","-0.31%"
"2013- 10- 15","2,040.96","2,034.69","2,045.50","2,033.84","233.62M","1.02%"
"2013- 10- 14","2,020.27","2,026.07","2,026.79","2,019.65","220.74M","-0.23%"
"2013- 10- 11","2,024.90","2,018.01","2,028.11","2,012.66","254.29M","1.17%"
"2013- 10- 10","2,001.40","2,000.91","2,010.00","1,997.66","222.68M","-0.07%"
"2013- 10- 08","2,002.76","1,987.97","2,002.78","1,981.21","329.57M","0.42%"
"2013- 10- 07","1,994.42","1,997.17","2,002.61","1,991.02","249.77M","-0.13%"
"2013- 10- 04","1,996.98","1,999.92","2,004.65","1,985.63","241.07M","-0.12%"
"2013- 10- 02","1,999.47","2,012.07","2,012.82","1,999.02","238.25M","0.03%"
"2013- 10- 01","1,998.87","1,997.62","2,012.52","1,991.22","281.27M","0.10%"
